Occupation/Context,Total Employed (US),Gesture-Relevance Analysis,Context Tags,Gestural Cueing for Alerts or Transitions,Need for Discreet or Silent Communication,Multimodal Command Needs,Wears Gloves or Hands Often Dirty,Safety-Critical Tasks,Touch-Free Requirement,"Environmental Sensitivity (Moisture, Heat, Cold)",Hands Frequently Full,Performance Contexts,Sterile or Hygiene-Sensitive Settings,Task Switching Without Losing Flow,Field Work with Limited Tech Access,One-Handed or Asymmetric Work,High-Volume Repetitive Logging,Dim or Low-Light Workspaces,Constant Motion / Mobile Work,Visual Focus Must Stay Forward,Time-Sensitive or High-Paced Environments,Noisy Environments (Voice Input Unreliable),Irregular or Constrained Environments,Team-Based Spatial Work,Public-Facing with Frequent Interruptions,Objects or Screens are Out of Reach,Data/Interface Control While Focused Elsewhere
Aircraft Cleaner,124661,"Working in tight quarters and under strict safety protocols, aircraft cleaners often wear gloves, handle chemicals, and move between awkward angles to clean seating areas, lavatories, and overhead compartments. With limited access to their phones or terminals mid-task, gesture input could offer a hygienic, efficient way to log tasks, request assistance, or control lighting without needing to remove gloves or touch screens. This would streamline workflows in a time-sensitive, mobility-intensive setting — especially useful during overnight turnarounds or pre-flight prep windows.","['Dim or Low-Light Workspaces', 'Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,0,124661,124661,0,0,0,0,0,0,0,0
Auto Cleaner,124661,"Auto cleaners deal with water, soap, vacuums, and detailing tools — all while maneuvering in and around cars. Their hands are frequently wet, dirty, or gloved, making traditional screen-based input unworkable. Gesture input would let them control music, lighting, or even check off interior sections as completed, without pausing or compromising cleanliness. In high-throughput environments, this also reduces the need for shared touchscreen use, improving flow, hygiene, and job satisfaction.","['Sterile or Hygiene-Sensitive Settings', 'Environmental Sensitivity (Moisture, Heat, Cold)', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,124661,0,124661,124661,0,0,124661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auto Detailer,124661,"Auto detailers obsess over precision — buffing chrome, treating upholstery, and applying wax with care. They’re constantly moving around the vehicle, often with both hands occupied and attention focused on the surface at hand. A gesture-based system could allow them to snap progress photos, toggle between job checklists, or control task timers without breaking their rhythm. It’s a tool that matches the hands-on, visual nature of detailing — improving documentation without compromising flow or cleanliness.","['Safety-Critical Tasks', 'High-Volume Repetitive Logging', 'Hands Frequently Full', 'Touch-Free Requirement']",0,0,0,0,124661,124661,0,124661,0,0,0,0,0,124661,0,0,0,0,0,0,0,0,0,0
Automobile Detailer,124661,"Similar to auto detailers, these workers often operate solo in garages or car lots, using specialized tools on delicate surfaces. With gloved hands and products in play, using a phone or touchscreen mid-task can feel like a contamination risk or momentum killer. Gesture input offers an elegant alternative: quick, touchless control of playlists, inspection logs, or work orders — enabling them to stay immersed in their craft while still engaging with digital systems.","['Time-Sensitive or High-Paced Environments', 'High-Volume Repetitive Logging', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,0,0,124661,0,0,0,0,0,0
Bagger,124661,"Baggers work quickly and under pressure — scanning the conveyor, arranging items by weight and fragility, and keeping lines moving. Their hands are always full or occupied, and they may wear gloves for hygiene or safety. A gesture-based input could allow them to discreetly notify floor managers of bag shortages, request backup at busy times, or signal checkout irregularities — all without stepping away or touching a device. It’s about keeping eyes on the customer and hands on the task.","['Sterile or Hygiene-Sensitive Settings', 'Visual Focus Must Stay Forward', 'Public-Facing with Frequent Interruptions', 'Need for Discreet or Silent Communication']",0,124661,0,0,0,0,0,0,0,124661,0,0,0,0,0,0,124661,0,0,0,0,124661,0,0
Beer Coil Cleaner,124661,"Beer coil cleaners often work in dimly lit basements or back-of-house spaces, reaching into cold, wet environments to service and sanitize beverage lines. Wearing gloves and handling chemical agents, they can’t easily interact with phones or tablets mid-job. A gesture-based input would allow them to toggle cleaning steps, document line status, or activate timers without removing gloves or contaminating surfaces — improving both hygiene compliance and workflow efficiency in tight, awkward spaces.","['Sterile or Hygiene-Sensitive Settings', 'Dim or Low-Light Workspaces', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,124661,0,0,0,0,124661,0,0,0,0,0,0,0,0,0
Boat Detailer,124661,"Detailing a boat involves navigating slick decks, cramped cabins, and complex surfaces — often with water, polish, and tools in hand. Gloves are common, as are unstable footing and variable lighting. Gesture input offers an ideal solution for hands-busy documentation, controlling audio, or switching between work orders. It allows detailers to keep their hands where they need them — on the vessel — while still engaging with digital tools without compromising safety or efficiency.","['Safety-Critical Tasks', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,124661,124661,124661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brick Offbearer,124661,"A brick offbearer removes freshly molded or fired bricks from production machinery — a repetitive, physically taxing task that demands focus and careful movement. The environment is often dusty, loud, and heat-intensive, with little room for safe screen use. Gesture input could allow them to signal jams, log output, or adjust machine pace without touching a device or disrupting workflow. It’s a low-distraction, touch-free interface tailored for rugged industrial settings.","['Constant Motion / Mobile Work', 'Touch-Free Requirement', 'Data/Interface Control While Focused Elsewhere', 'Noisy Environments (Voice Input Unreliable)']",0,0,0,0,0,124661,0,0,0,0,0,0,0,0,0,124661,0,0,124661,0,0,0,0,124661
Bus Cleaner,124661,"Bus cleaners work on tight schedules and often in the dark, especially overnight. Their tasks range from vacuuming and surface sanitation to deep cleaning of high-touch areas. Wearing gloves and using chemical sprays, stopping to operate a screen introduces hygiene risks and time loss. Gesture-based controls could allow workers to log buses cleaned, report damage, or activate onboard systems without removing gloves — streamlining maintenance while supporting cleaner, safer vehicles.","['Sterile or Hygiene-Sensitive Settings', 'Dim or Low-Light Workspaces', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,124661,0,0,0,0,124661,0,0,0,0,0,0,0,0,0
Bus Washer,124661,"Bus washers handle large-scale vehicles with water jets, brushes, and soap, often outdoors and in all weather conditions. Soaked gloves and wet environments make it unsafe or impossible to use touchscreens. Gesture input offers a resilient alternative — enabling quick toggles of wash modes, equipment status checks, or task logging while staying dry and in motion. It helps keep large fleet operations running smoothly with less interruption and greater worker autonomy.","['Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments', 'High-Volume Repetitive Logging']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,0,0,124661,0,0,0,0,0,0
